Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,1,1,histoire,history
1,2,4,4,police,police
3,5,8,8,mois,month
4,6,9,9,frère,brother
8,15,18,19,arrivé,come
10,18,22,23,heures,hours
11,19,23,24,vont,will
13,24,28,29,parle,speak
15,32,38,39,leurs,their
16,33,39,40,donné,given
17,35,41,43,yeux,eyes
18,44,54,56,matin,morning
19,47,59,62,venez,come
21,51,63,66,demandé,request
22,52,64,67,chambre,bedroom
24,56,68,71,aujourd'hui,today
25,57,70,73,cause,cause
26,60,74,77,nouvelle,new
27,63,77,80,dirait,would say
29,66,82,85,fin,end
30,69,86,90,aura,will have
31,70,87,91,filles,girls
32,72,89,93,bureau,office
